pow,pos,poa,algorand,ouroboros,avalanche,fnp2,con_two,con_many,majority
0.0,0.1,0.0,0.0,0.0,0.0,0.62,0.62,0.6,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.62,0.6,0.62
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.58,0.62,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.42,0.44,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.62,0.58,0.62
0.0,0.02,0.0,0.0,0.0,0.0,0.48,0.58,0.5,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.48,0.58,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.56,0.62,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.52,0.5,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.68,0.54,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.66,0.68,0.54
0.0,0.02,0.0,0.0,0.0,0.0,0.5,0.48,0.54,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.58,0.52,0.56
0.0,0.1,0.0,0.0,0.0,0.0,0.42,0.42,0.6,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.62,0.54,0.44
0.0,0.02,0.0,0.0,0.0,0.0,0.5,0.46,0.68,0.58
0.44,0.0,0.0,0.0,0.0,0.0,0.5,0.66,0.58,0.54
0.0,0.26,0.0,0.0,0.0,0.0,0.6,0.64,0.54,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.62,0.64,0.4
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.54,0.68,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.52,0.6,0.5
0.04,0.0,0.0,0.0,0.0,0.0,0.52,0.62,0.6,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.62,0.5,0.54,0.6
0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.48,0.62,0.52
0.0,0.04,0.0,0.0,0.0,0.0,0.44,0.6,0.68,0.62
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.6,0.58,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.5,0.62,0.44
0.04,0.0,0.0,0.0,0.0,0.0,0.54,0.64,0.56,0.48
0.0,0.02,0.0,0.0,0.0,0.0,0.44,0.56,0.58,0.44
0.0,0.02,0.0,0.0,0.0,0.0,0.56,0.58,0.66,0.52
0.0,0.06,0.0,0.0,0.0,0.0,0.54,0.58,0.54,0.42
0.0,0.04,0.0,0.0,0.0,0.0,0.58,0.44,0.56,0.46
0.0,0.12,0.0,0.0,0.0,0.0,0.44,0.52,0.6,0.54
0.0,0.02,0.0,0.0,0.0,0.0,0.64,0.58,0.58,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.62,0.5,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.56,0.54,0.62
0.06,0.18,0.0,0.0,0.0,0.0,0.46,0.56,0.56,0.5
0.02,0.04,0.0,0.0,0.0,0.0,0.34,0.52,0.6,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.44,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.56,0.7,0.38
0.0,0.02,0.0,0.0,0.0,0.0,0.52,0.58,0.58,0.4
0.14,0.0,0.0,0.0,0.0,0.0,0.4,0.56,0.58,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.6,0.56,0.56
0.02,0.0,0.0,0.0,0.0,0.0,0.42,0.5,0.64,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.36,0.48,0.64,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.56,0.66,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.5,0.62,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.62,0.42,0.34
0.0,0.02,0.0,0.0,0.0,0.0,0.42,0.44,0.64,0.42
0.0,0.04,0.0,0.0,0.0,0.0,0.42,0.58,0.56,0.68
0.0,0.04,0.0,0.0,0.0,0.0,0.42,0.58,0.6,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.54,0.68,0.54
0.06,0.0,0.0,0.0,0.0,0.0,0.7,0.52,0.5,0.42
0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.42,0.64,0.44
0.0,0.08,0.0,0.0,0.0,0.0,0.58,0.56,0.52,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.48,0.52,0.52
0.18,0.1,0.0,0.0,0.0,0.0,0.3,0.54,0.64,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.68,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.44,0.52,0.44
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.54,0.58,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.48,0.68,0.58,0.44
0.08,0.0,0.0,0.0,0.0,0.0,0.46,0.54,0.58,0.44
0.04,0.0,0.0,0.0,0.0,0.0,0.52,0.62,0.54,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.46,0.5,0.44
0.0,0.04,0.0,0.0,0.0,0.0,0.66,0.52,0.5,0.54
0.04,0.08,0.0,0.0,0.0,0.0,0.5,0.48,0.66,0.56
0.08,0.0,0.0,0.0,0.0,0.0,0.5,0.64,0.66,0.62
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.5,0.58,0.38
0.08,0.0,0.0,0.0,0.0,0.0,0.46,0.52,0.66,0.5
0.1,0.0,0.0,0.0,0.0,0.0,0.52,0.6,0.46,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.54,0.64,0.48
0.0,0.06,0.0,0.0,0.0,0.0,0.48,0.46,0.6,0.5
0.08,0.1,0.0,0.0,0.0,0.0,0.54,0.5,0.76,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.5,0.54,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.7,0.5,0.4
0.02,0.04,0.0,0.0,0.0,0.0,0.54,0.36,0.66,0.66
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44,0.56,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.6,0.52,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.5,0.6
0.0,0.12,0.0,0.0,0.0,0.0,0.36,0.44,0.64,0.44
0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.54,0.4,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.48,0.72,0.6
0.02,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.46,0.62,0.56
0.04,0.0,0.0,0.0,0.0,0.0,0.54,0.62,0.58,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.56,0.56,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.58,0.52,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.58,0.66,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.52,0.48,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.62,0.5,0.58
0.0,0.02,0.0,0.0,0.0,0.0,0.52,0.64,0.62,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.66,0.54,0.44
0.08,0.04,0.0,0.0,0.0,0.0,0.54,0.58,0.54,0.52
0.0,0.02,0.0,0.0,0.0,0.0,0.4,0.6,0.56,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.54,0.56,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.42,0.52,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.52,0.56,0.4
0.02,0.02,0.0,0.0,0.0,0.0,0.38,0.66,0.52,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.56,0.52,0.6
0.0,0.02,0.0,0.0,0.0,0.0,0.44,0.48,0.5,0.4
0.06,0.02,0.0,0.0,0.0,0.0,0.5,0.62,0.46,0.46
0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.62,0.54,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.46,0.54,0.58,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.58,0.58,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.44,0.58,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.54,0.52
0.12,0.02,0.0,0.0,0.0,0.0,0.44,0.54,0.6,0.48
0.0,0.02,0.0,0.0,0.0,0.0,0.46,0.64,0.54,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.48,0.5,0.56
0.0,0.08,0.0,0.0,0.0,0.0,0.6,0.6,0.64,0.44
0.0,0.06,0.0,0.0,0.0,0.0,0.48,0.62,0.6,0.46
0.02,0.04,0.0,0.0,0.0,0.0,0.54,0.58,0.44,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.36,0.58,0.56,0.5
0.0,0.02,0.0,0.0,0.0,0.0,0.62,0.58,0.56,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.5,0.7,0.48
0.06,0.0,0.0,0.0,0.0,0.0,0.34,0.38,0.56,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.5,0.48,0.5
0.04,0.0,0.0,0.0,0.0,0.0,0.42,0.64,0.62,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.46,0.6,0.6,0.54
0.08,0.02,0.0,0.0,0.0,0.0,0.66,0.58,0.44,0.56
0.0,0.26,0.0,0.0,0.0,0.0,0.36,0.42,0.56,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.48,0.52,0.54,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.58,0.48,0.54
0.06,0.02,0.0,0.0,0.0,0.0,0.42,0.48,0.54,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.54,0.56,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.38,0.46,0.64,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.4,0.54,0.46,0.44
0.0,0.12,0.0,0.0,0.0,0.0,0.46,0.58,0.74,0.5
0.0,0.02,0.0,0.0,0.0,0.0,0.54,0.52,0.4,0.46
0.0,0.06,0.0,0.0,0.0,0.0,0.6,0.62,0.56,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.52,0.62,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.46,0.58,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.62,0.7,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.56,0.64,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.52,0.58,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.48,0.48,0.44
0.02,0.0,0.0,0.0,0.0,0.0,0.56,0.52,0.52,0.48
0.0,0.02,0.0,0.0,0.0,0.0,0.42,0.46,0.48,0.44
0.0,0.02,0.0,0.0,0.0,0.0,0.58,0.62,0.62,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.54,0.54,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.5,0.5,0.5
0.08,0.02,0.0,0.0,0.0,0.0,0.52,0.42,0.52,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.46,0.58,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.58,0.5,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.48,0.46,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.44,0.62,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.64,0.5
0.0,0.04,0.0,0.0,0.0,0.0,0.54,0.6,0.6,0.44
0.0,0.08,0.0,0.0,0.0,0.0,0.48,0.54,0.56,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.56,0.54,0.46
0.04,0.08,0.0,0.0,0.0,0.0,0.46,0.58,0.54,0.46
0.0,0.04,0.0,0.0,0.0,0.0,0.42,0.52,0.56,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.52,0.56,0.54
0.12,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.58,0.5
0.0,0.04,0.0,0.0,0.0,0.0,0.54,0.6,0.52,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.56,0.56,0.5
0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.56,0.66,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.62,0.54,0.58,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.5,0.64,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.5,0.52,0.38
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.54,0.56,0.42
0.02,0.08,0.0,0.0,0.0,0.0,0.36,0.38,0.44,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.56,0.54,0.54
0.0,0.1,0.0,0.0,0.0,0.0,0.42,0.54,0.58,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.66,0.56,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.58,0.66,0.62
0.04,0.02,0.0,0.0,0.0,0.0,0.44,0.6,0.7,0.4
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.56,0.48,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.6,0.6,0.54
0.02,0.0,0.0,0.0,0.0,0.0,0.4,0.46,0.62,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.56,0.56,0.58
0.08,0.0,0.0,0.0,0.0,0.0,0.52,0.56,0.6,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.48,0.56,0.52
0.0,0.02,0.0,0.0,0.0,0.0,0.52,0.54,0.58,0.36
0.0,0.02,0.0,0.0,0.0,0.0,0.62,0.5,0.66,0.68
0.02,0.1,0.0,0.0,0.0,0.0,0.34,0.64,0.44,0.48
0.4,0.0,0.0,0.0,0.0,0.0,0.64,0.46,0.58,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.5,0.6,0.46
0.0,0.1,0.0,0.0,0.0,0.0,0.54,0.56,0.56,0.46
0.02,0.02,0.0,0.0,0.0,0.0,0.46,0.54,0.6,0.46
0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.52,0.64,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.5,0.62,0.44
0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.52,0.56,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.5,0.4,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.58,0.48,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.56,0.6,0.44
0.08,0.0,0.0,0.0,0.0,0.0,0.66,0.58,0.48,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.56,0.6,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.58,0.66,0.56
0.0,0.02,0.0,0.0,0.0,0.0,0.4,0.64,0.58,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.54,0.56,0.44
0.12,0.0,0.0,0.0,0.0,0.0,0.48,0.66,0.62,0.56
0.0,0.16,0.0,0.0,0.0,0.0,0.54,0.52,0.54,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.5,0.56,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.48,0.56,0.52
0.0,0.02,0.0,0.0,0.0,0.0,0.52,0.46,0.56,0.36
0.0,0.06,0.0,0.0,0.0,0.0,0.52,0.64,0.52,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.5,0.64,0.52
0.1,0.0,0.0,0.0,0.0,0.0,0.58,0.64,0.5,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.44,0.62,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.5,0.66,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.68,0.62,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.5,0.66,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.38,0.54,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.58,0.58,0.6,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.5,0.6,0.46
0.04,0.02,0.0,0.0,0.0,0.0,0.62,0.54,0.52,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.46,0.66,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.48,0.6,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.54,0.56,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.54,0.44,0.44
0.02,0.02,0.0,0.0,0.0,0.0,0.46,0.42,0.5,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.5,0.44,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.46,0.56,0.36
0.0,0.02,0.0,0.0,0.0,0.0,0.56,0.5,0.48,0.54
0.0,0.02,0.0,0.0,0.0,0.0,0.6,0.48,0.58,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.44,0.62,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.56,0.5,0.52
0.14,0.0,0.0,0.0,0.0,0.0,0.4,0.52,0.66,0.4
0.06,0.04,0.0,0.0,0.0,0.0,0.52,0.52,0.58,0.42
0.0,0.28,0.0,0.0,0.0,0.0,0.6,0.52,0.58,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.58,0.58,0.4
0.0,0.02,0.0,0.0,0.0,0.0,0.52,0.54,0.52,0.4
0.0,0.02,0.0,0.0,0.0,0.0,0.38,0.54,0.54,0.56
0.0,0.02,0.0,0.0,0.0,0.0,0.54,0.6,0.64,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.52,0.64,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.44,0.52,0.66
0.0,0.02,0.0,0.0,0.0,0.0,0.46,0.48,0.58,0.5
0.04,0.0,0.0,0.0,0.0,0.0,0.54,0.7,0.6,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.54,0.58,0.44
0.0,0.02,0.0,0.0,0.0,0.0,0.54,0.52,0.58,0.36
0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.56,0.58,0.42
0.1,0.0,0.0,0.0,0.0,0.0,0.48,0.5,0.48,0.36
0.06,0.0,0.0,0.0,0.0,0.0,0.56,0.46,0.6,0.58
0.18,0.0,0.0,0.0,0.0,0.0,0.4,0.54,0.48,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.54,0.5,0.52
0.0,0.06,0.0,0.0,0.0,0.0,0.4,0.56,0.54,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.42,0.58,0.6
0.0,0.12,0.0,0.0,0.0,0.0,0.44,0.58,0.56,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.58,0.6,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.64,0.42,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.66,0.48,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.64,0.58,0.58
0.0,0.86,0.38,0.08,0.18,0.0,0.44,0.5,0.6,0.5
0.04,0.0,0.0,0.0,0.0,0.0,0.56,0.62,0.52,0.6
0.0,0.02,0.0,0.0,0.0,0.0,0.6,0.58,0.52,0.36
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.6,0.6
0.02,0.0,0.0,0.0,0.0,0.0,0.48,0.58,0.66,0.38
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.58,0.42,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.54,0.56,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.4,0.62,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.48,0.54,0.48
0.1,0.0,0.0,0.0,0.0,0.0,0.56,0.58,0.58,0.4
0.0,0.02,0.0,0.0,0.0,0.0,0.58,0.58,0.62,0.54
0.0,0.02,0.0,0.0,0.0,0.0,0.42,0.5,0.52,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.52,0.56,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.46,0.58,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.52,0.54,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.54,0.64,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.58,0.5,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.62,0.62
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.6,0.64,0.48
0.0,0.02,0.0,0.0,0.0,0.0,0.4,0.5,0.6,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.58,0.7,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.54,0.46,0.42
0.02,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.58,0.5
0.0,0.04,0.0,0.0,0.0,0.0,0.5,0.58,0.62,0.38
0.0,0.02,0.0,0.0,0.0,0.0,0.5,0.5,0.58,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.56,0.66,0.62
0.0,0.16,0.0,0.0,0.0,0.0,0.56,0.52,0.64,0.56
0.0,0.02,0.0,0.0,0.0,0.0,0.46,0.5,0.54,0.48
0.0,0.04,0.0,0.0,0.0,0.0,0.48,0.6,0.62,0.5
0.04,0.04,0.0,0.0,0.0,0.0,0.6,0.56,0.56,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.6,0.64,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.4,0.56,0.5
0.02,0.02,0.0,0.0,0.0,0.0,0.46,0.52,0.52,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.38,0.64,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.72,0.6,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.5,0.56,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.4,0.68,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.42,0.46,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.38,0.46,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.46,0.5,0.4
0.0,0.04,0.0,0.0,0.0,0.0,0.52,0.48,0.6,0.48
0.1,0.02,0.0,0.0,0.0,0.0,0.54,0.66,0.6,0.48
0.02,0.04,0.0,0.0,0.0,0.0,0.64,0.64,0.64,0.54
0.0,0.06,0.0,0.0,0.0,0.0,0.58,0.44,0.66,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.62,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.5,0.52,0.48
0.1,0.02,0.0,0.0,0.0,0.0,0.48,0.46,0.56,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.66,0.52,0.58,0.52
0.02,0.08,0.0,0.0,0.0,0.0,0.4,0.5,0.54,0.42
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.54,0.4,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.54,0.64,0.54
0.04,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.66,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.42,0.5,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.52,0.4,0.56
0.02,0.02,0.0,0.0,0.0,0.0,0.42,0.5,0.54,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.52,0.5,0.56
0.06,0.0,0.0,0.0,0.0,0.0,0.54,0.6,0.58,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.56,0.48,0.5
0.0,0.06,0.0,0.0,0.0,0.0,0.52,0.66,0.52,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.68,0.5,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.5,0.52,0.52
0.0,0.1,0.0,0.0,0.0,0.0,0.48,0.58,0.56,0.46
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.42,0.58,0.64
0.18,0.0,0.0,0.0,0.0,0.0,0.5,0.54,0.52,0.44
0.02,0.0,0.0,0.0,0.0,0.0,0.38,0.68,0.44,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.6,0.54,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.56,0.68,0.52,0.54
0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.58,0.64,0.52
