pow,pos,poa,algorand,ouroboros,avalanche,fnp2,con_two,con_many,majority
0.0,0.36,0.02,0.0,0.0,0.0,0.54,0.9,0.98,0.44
0.1,0.04,0.0,0.0,0.0,0.0,0.5,0.96,0.98,0.54
0.02,0.26,0.0,0.0,0.0,0.0,0.42,0.96,1.0,0.46
0.02,0.14,0.0,0.0,0.0,0.0,0.64,0.96,1.0,0.44
0.08,0.0,0.0,0.0,0.0,0.0,0.44,0.9,1.0,0.48
0.24,0.02,0.0,0.0,0.0,0.0,0.3,0.9,0.98,0.6
0.24,0.02,0.0,0.0,0.0,0.0,0.54,0.94,1.0,0.44
0.1,0.14,0.0,0.0,0.0,0.0,0.36,0.9,0.98,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.92,0.98,0.5
0.22,0.1,0.0,0.0,0.0,0.0,0.6,0.98,1.0,0.44
0.08,0.0,0.0,0.0,0.0,0.0,0.6,0.96,0.98,0.54
0.1,0.04,0.0,0.0,0.0,0.0,0.46,0.9,0.98,0.46
0.94,0.0,0.0,0.0,0.0,0.0,0.46,0.9,1.0,0.58
0.0,0.02,0.0,0.0,0.0,0.0,0.48,0.94,1.0,0.64
0.02,0.1,0.0,0.0,0.0,0.0,0.46,0.94,0.98,0.4
0.28,0.26,0.0,0.0,0.0,0.0,0.36,0.94,0.98,0.54
0.02,0.06,0.0,0.0,0.0,0.0,0.5,0.88,0.98,0.5
0.0,0.06,0.0,0.0,0.0,0.0,0.4,0.92,0.98,0.62
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.92,0.98,0.6
0.7,0.02,0.0,0.0,0.0,0.0,0.5,0.94,1.0,0.38
0.0,0.04,0.0,0.0,0.0,0.0,0.6,0.92,1.0,0.56
0.0,0.06,0.0,0.0,0.0,0.0,0.5,0.88,0.98,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.94,1.0,0.46
0.06,0.0,0.0,0.0,0.0,0.0,0.44,0.92,1.0,0.5
0.0,0.56,0.0,0.0,0.0,0.0,0.56,0.92,1.0,0.48
0.02,0.28,0.0,0.0,0.0,0.0,0.54,0.94,0.98,0.5
0.1,0.2,0.0,0.0,0.0,0.0,0.58,0.96,1.0,0.44
0.68,0.0,0.0,0.0,0.0,0.0,0.46,0.94,1.0,0.44
0.06,0.06,0.0,0.0,0.0,0.0,0.48,0.94,1.0,0.38
0.04,0.24,0.0,0.0,0.0,0.0,0.46,0.98,1.0,0.44
0.24,0.06,0.0,0.0,0.0,0.0,0.52,0.9,1.0,0.58
0.0,0.02,0.0,0.0,0.0,0.0,0.5,0.86,1.0,0.46
0.08,0.0,0.0,0.0,0.0,0.0,0.5,0.96,1.0,0.42
0.12,0.52,0.08,0.0,0.02,0.0,0.2,0.9,1.0,0.46
0.1,0.08,0.0,0.0,0.0,0.0,0.58,0.94,1.0,0.58
0.08,0.44,0.0,0.0,0.02,0.0,0.6,0.92,1.0,0.48
0.0,0.04,0.0,0.0,0.0,0.0,0.52,0.94,0.98,0.54
0.06,0.18,0.0,0.0,0.0,0.0,0.62,0.88,1.0,0.42
0.04,0.0,0.0,0.0,0.0,0.0,0.4,0.98,1.0,0.4
0.14,0.04,0.0,0.0,0.0,0.0,0.54,0.96,1.0,0.64
1.0,0.16,0.0,0.0,0.0,0.0,0.58,0.92,0.98,0.56
0.04,0.28,0.04,0.0,0.0,0.0,0.42,0.96,1.0,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.96,0.96,0.5
0.04,0.68,0.06,0.0,0.06,0.0,0.38,0.9,0.96,0.54
0.14,0.14,0.0,0.0,0.0,0.0,0.52,0.92,0.94,0.58
0.38,0.78,0.38,0.1,0.22,0.0,0.44,0.86,1.0,0.34
0.02,0.1,0.0,0.0,0.0,0.0,0.4,0.94,1.0,0.58
0.08,0.04,0.0,0.0,0.0,0.0,0.4,0.92,1.0,0.54
0.08,0.62,0.06,0.0,0.0,0.0,0.46,0.92,0.98,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.88,1.0,0.44
0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.94,1.0,0.58
0.02,0.04,0.0,0.0,0.0,0.0,0.42,0.98,1.0,0.4
0.0,0.04,0.0,0.0,0.0,0.0,0.6,0.94,1.0,0.56
0.04,0.0,0.0,0.0,0.0,0.0,0.48,0.98,1.0,0.36
0.04,0.46,0.02,0.0,0.0,0.0,0.42,0.92,0.94,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.88,0.98,0.56
0.14,0.0,0.0,0.0,0.0,0.0,0.5,0.86,0.98,0.52
0.0,0.24,0.0,0.0,0.0,0.0,0.4,0.94,1.0,0.54
0.0,0.06,0.0,0.0,0.0,0.0,0.5,0.96,0.98,0.46
0.16,0.02,0.0,0.0,0.0,0.0,0.54,0.92,0.98,0.46
0.06,0.04,0.0,0.0,0.0,0.0,0.42,0.9,0.96,0.56
0.0,0.7,0.38,0.04,0.16,0.0,0.46,0.98,0.96,0.5
0.28,0.16,0.0,0.0,0.0,0.0,0.48,0.96,0.98,0.58
0.02,0.22,0.0,0.0,0.0,0.0,0.5,0.94,0.98,0.52
0.08,0.06,0.0,0.0,0.0,0.0,0.58,0.96,1.0,0.52
0.06,0.6,0.18,0.0,0.04,0.0,0.4,0.9,1.0,0.42
0.04,0.1,0.0,0.0,0.0,0.0,0.4,0.98,1.0,0.48
0.06,0.28,0.02,0.0,0.0,0.0,0.56,0.9,1.0,0.58
0.02,0.0,0.0,0.0,0.0,0.0,0.46,0.96,1.0,0.48
0.38,0.08,0.0,0.0,0.0,0.0,0.44,0.98,1.0,0.56
0.0,0.02,0.0,0.0,0.0,0.0,0.4,0.84,0.98,0.5
0.0,0.02,0.0,0.0,0.0,0.0,0.56,0.98,0.98,0.54
0.04,0.06,0.0,0.0,0.0,0.0,0.52,0.92,0.96,0.54
0.16,0.2,0.0,0.0,0.0,0.0,0.4,0.96,1.0,0.46
0.2,0.08,0.0,0.0,0.0,0.0,0.54,0.94,1.0,0.6
0.4,0.16,0.0,0.0,0.0,0.0,0.46,0.9,1.0,0.52
0.02,0.02,0.0,0.0,0.0,0.0,0.52,0.92,1.0,0.52
0.18,0.02,0.0,0.0,0.0,0.0,0.56,0.92,1.0,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.96,0.98,0.48
0.08,0.14,0.0,0.0,0.0,0.0,0.52,0.98,0.98,0.44
0.04,0.08,0.0,0.0,0.0,0.0,0.38,0.9,0.96,0.6
0.06,0.04,0.0,0.0,0.0,0.0,0.56,0.9,1.0,0.36
0.24,0.04,0.0,0.0,0.0,0.0,0.52,0.96,1.0,0.48
0.14,0.02,0.0,0.0,0.0,0.0,0.6,0.88,0.96,0.52
0.08,0.02,0.0,0.0,0.0,0.0,0.44,0.96,1.0,0.56
0.26,0.14,0.0,0.0,0.0,0.0,0.34,0.9,0.98,0.44
0.08,0.54,0.0,0.0,0.04,0.0,0.52,0.92,1.0,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.96,1.0,0.54
0.16,0.24,0.0,0.0,0.0,0.0,0.44,0.96,1.0,0.54
0.44,0.06,0.0,0.0,0.0,0.0,0.64,0.98,0.98,0.52
0.0,0.02,0.0,0.0,0.0,0.0,0.56,0.92,1.0,0.54
0.0,0.06,0.0,0.0,0.0,0.0,0.62,0.94,1.0,0.44
0.62,0.66,0.06,0.04,0.06,0.0,0.56,0.98,1.0,0.56
0.06,0.12,0.0,0.0,0.0,0.0,0.62,0.94,1.0,0.46
0.0,0.22,0.02,0.0,0.0,0.0,0.66,0.88,1.0,0.44
0.0,0.08,0.0,0.0,0.0,0.0,0.54,0.92,0.98,0.5
0.0,0.04,0.0,0.0,0.0,0.0,0.5,0.98,0.98,0.52
0.02,0.04,0.0,0.0,0.0,0.0,0.56,0.96,1.0,0.56
0.02,0.12,0.0,0.0,0.0,0.0,0.42,0.9,0.98,0.62
0.16,0.6,0.0,0.0,0.02,0.0,0.7,0.92,1.0,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.62,0.92,0.98,0.44
0.04,0.0,0.0,0.0,0.0,0.0,0.62,0.9,1.0,0.52
0.04,0.36,0.0,0.0,0.0,0.0,0.44,0.96,1.0,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.56,0.88,0.96,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.96,1.0,0.58
0.02,0.14,0.0,0.0,0.0,0.0,0.52,0.98,1.0,0.46
0.54,0.02,0.0,0.0,0.0,0.0,0.62,0.98,1.0,0.46
0.02,0.38,0.0,0.0,0.0,0.0,0.42,0.86,0.98,0.46
0.28,0.06,0.0,0.0,0.0,0.0,0.54,0.94,0.98,0.6
0.26,0.04,0.0,0.0,0.0,0.0,0.52,0.86,0.94,0.6
0.06,0.0,0.0,0.0,0.0,0.0,0.6,0.88,1.0,0.42
0.32,0.64,0.08,0.0,0.02,0.0,0.64,0.94,0.98,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.92,1.0,0.5
0.18,0.16,0.0,0.0,0.0,0.0,0.5,0.98,1.0,0.52
0.26,0.02,0.0,0.0,0.0,0.0,0.5,0.98,1.0,0.5
0.04,0.0,0.0,0.0,0.0,0.0,0.48,0.94,1.0,0.54
0.0,0.2,0.0,0.0,0.0,0.0,0.56,0.96,1.0,0.48
0.0,0.04,0.0,0.0,0.0,0.0,0.44,0.96,0.96,0.48
0.0,0.24,0.0,0.0,0.0,0.0,0.54,0.98,1.0,0.52
0.36,0.1,0.0,0.0,0.0,0.0,0.42,0.94,0.98,0.38
0.14,0.72,0.28,0.06,0.16,0.0,0.46,0.96,0.98,0.58
0.2,0.0,0.0,0.0,0.0,0.0,0.44,0.94,0.96,0.4
0.18,0.0,0.0,0.0,0.0,0.0,0.44,0.92,1.0,0.54
0.06,0.0,0.0,0.0,0.0,0.0,0.52,0.9,1.0,0.56
0.1,0.0,0.0,0.0,0.0,0.0,0.64,0.94,1.0,0.58
0.06,0.42,0.0,0.0,0.0,0.0,0.44,0.9,0.98,0.34
0.34,0.78,0.08,0.04,0.08,0.0,0.58,0.92,1.0,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.5,0.94,1.0,0.44
0.12,0.1,0.0,0.0,0.0,0.0,0.6,0.94,1.0,0.48
0.18,0.1,0.0,0.0,0.0,0.0,0.58,0.94,1.0,0.46
0.12,0.02,0.0,0.0,0.0,0.0,0.42,0.9,1.0,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.96,1.0,0.54
0.0,0.06,0.0,0.0,0.0,0.0,0.44,0.94,1.0,0.36
0.16,0.0,0.0,0.0,0.0,0.0,0.44,0.92,1.0,0.44
0.02,0.16,0.0,0.0,0.0,0.0,0.48,0.98,1.0,0.6
0.06,0.08,0.0,0.0,0.0,0.0,0.58,0.94,1.0,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.92,1.0,0.52
0.38,0.6,0.0,0.0,0.02,0.0,0.54,0.88,0.98,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.96,0.98,0.52
0.96,0.06,0.0,0.0,0.0,0.0,0.56,0.96,0.98,0.5
0.08,0.24,0.0,0.0,0.0,0.0,0.44,0.94,1.0,0.48
0.0,0.04,0.0,0.0,0.0,0.0,0.58,0.9,1.0,0.52
0.0,0.04,0.0,0.0,0.0,0.0,0.58,0.94,0.98,0.5
0.16,0.72,0.24,0.04,0.18,0.0,0.6,0.94,0.98,0.48
0.04,0.06,0.0,0.0,0.0,0.0,0.5,0.92,0.96,0.58
0.36,0.14,0.0,0.0,0.0,0.0,0.46,1.0,0.98,0.46
0.64,0.02,0.0,0.0,0.0,0.0,0.5,0.92,1.0,0.52
0.0,0.74,0.42,0.18,0.4,0.0,0.52,1.0,0.98,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.94,1.0,0.54
0.02,0.0,0.0,0.0,0.0,0.0,0.4,0.94,1.0,0.5
0.0,0.06,0.0,0.0,0.0,0.0,0.48,0.92,1.0,0.64
0.36,0.02,0.0,0.0,0.0,0.0,0.54,0.92,1.0,0.54
0.62,0.02,0.0,0.0,0.0,0.0,0.56,0.94,0.98,0.6
0.02,0.0,0.0,0.0,0.0,0.0,0.4,0.98,1.0,0.48
0.92,0.02,0.0,0.0,0.0,0.0,0.46,0.98,0.98,0.48
0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.94,0.98,0.42
0.04,0.1,0.0,0.0,0.0,0.0,0.42,0.96,0.96,0.48
0.0,0.76,0.06,0.0,0.1,0.0,0.5,0.92,1.0,0.48
0.0,0.36,0.0,0.0,0.02,0.0,0.54,0.94,0.98,0.52
0.04,0.46,0.02,0.0,0.0,0.0,0.5,0.92,1.0,0.28
0.02,0.3,0.0,0.0,0.0,0.0,0.52,0.96,1.0,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.46,0.84,1.0,0.4
0.0,0.14,0.0,0.0,0.0,0.0,0.5,0.96,1.0,0.44
0.24,0.0,0.0,0.0,0.0,0.0,0.54,0.94,0.96,0.54
0.0,0.4,0.02,0.0,0.02,0.0,0.46,0.92,1.0,0.38
0.02,0.04,0.0,0.0,0.0,0.0,0.48,0.98,0.98,0.44
0.06,0.26,0.0,0.0,0.0,0.0,0.58,0.94,1.0,0.42
0.16,0.54,0.04,0.0,0.0,0.0,0.52,0.88,1.0,0.54
0.02,0.04,0.0,0.0,0.0,0.0,0.46,0.88,1.0,0.58
0.04,0.02,0.0,0.0,0.0,0.0,0.48,0.94,1.0,0.62
0.0,0.02,0.0,0.0,0.0,0.0,0.42,0.94,1.0,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.94,1.0,0.46
0.44,0.14,0.0,0.0,0.0,0.0,0.52,0.92,0.98,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.6,0.98,0.96,0.52
0.0,0.48,0.0,0.0,0.0,0.0,0.36,0.9,0.98,0.52
0.34,0.0,0.0,0.0,0.0,0.0,0.46,1.0,1.0,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.48,0.94,1.0,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.94,1.0,0.52
0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.96,1.0,0.54
0.04,0.0,0.0,0.0,0.0,0.0,0.56,0.96,1.0,0.52
0.0,0.14,0.0,0.0,0.0,0.0,0.52,0.94,1.0,0.5
0.32,0.04,0.0,0.0,0.0,0.0,0.42,0.96,0.98,0.52
0.04,0.02,0.0,0.0,0.0,0.0,0.44,0.94,0.98,0.5
0.42,0.64,0.16,0.0,0.08,0.0,0.56,0.92,1.0,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.96,0.98,0.46
0.56,0.32,0.0,0.0,0.0,0.0,0.44,0.96,1.0,0.56
0.0,0.04,0.0,0.0,0.0,0.0,0.54,0.96,0.98,0.54
0.22,0.22,0.02,0.0,0.0,0.0,0.6,0.92,0.98,0.56
0.12,0.0,0.0,0.0,0.0,0.0,0.48,0.88,0.98,0.58
0.06,0.18,0.0,0.0,0.0,0.0,0.62,0.94,0.98,0.58
0.14,0.0,0.0,0.0,0.0,0.0,0.5,0.96,0.96,0.36
0.06,0.72,0.08,0.02,0.16,0.0,0.48,0.96,1.0,0.44
0.0,0.02,0.0,0.0,0.0,0.0,0.48,0.94,0.98,0.48
0.06,0.0,0.0,0.0,0.0,0.0,0.58,0.98,1.0,0.48
0.14,0.1,0.0,0.0,0.0,0.0,0.58,0.96,0.98,0.42
0.0,0.38,0.02,0.0,0.0,0.0,0.32,0.92,1.0,0.5
0.12,0.04,0.0,0.0,0.0,0.0,0.54,0.96,1.0,0.42
0.04,0.42,0.0,0.0,0.0,0.0,0.56,0.96,0.98,0.4
0.74,0.34,0.02,0.0,0.0,0.0,0.46,0.98,1.0,0.42
0.22,0.18,0.0,0.0,0.0,0.0,0.48,0.92,1.0,0.58
0.1,0.7,0.06,0.0,0.06,0.0,0.48,0.94,0.98,0.54
0.28,0.02,0.0,0.0,0.0,0.0,0.34,0.96,1.0,0.42
0.18,0.0,0.0,0.0,0.0,0.0,0.42,0.94,1.0,0.48
0.64,0.04,0.0,0.0,0.0,0.0,0.56,0.92,1.0,0.56
0.12,0.12,0.0,0.0,0.0,0.0,0.48,0.92,1.0,0.5
0.1,0.68,0.1,0.02,0.02,0.0,0.38,0.98,0.98,0.6
0.16,0.0,0.0,0.0,0.0,0.0,0.44,0.94,1.0,0.44
0.14,0.08,0.0,0.0,0.0,0.0,0.34,0.98,1.0,0.48
0.06,0.0,0.0,0.0,0.0,0.0,0.58,0.96,1.0,0.54
0.34,0.24,0.0,0.0,0.0,0.0,0.56,0.98,0.98,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.64,0.98,0.98,0.5
0.1,0.02,0.0,0.0,0.0,0.0,0.6,0.94,0.98,0.5
0.74,0.02,0.0,0.0,0.0,0.0,0.56,0.94,0.98,0.56
0.04,0.02,0.0,0.0,0.0,0.0,0.46,0.92,0.96,0.42
0.36,0.36,0.0,0.0,0.0,0.0,0.42,0.9,0.96,0.58
0.06,0.08,0.0,0.0,0.0,0.0,0.42,0.9,1.0,0.42
0.1,0.02,0.0,0.0,0.0,0.0,0.48,0.9,1.0,0.58
0.02,0.04,0.0,0.0,0.0,0.0,0.48,0.92,1.0,0.42
0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.96,0.98,0.5
0.04,0.26,0.0,0.0,0.0,0.0,0.42,0.88,1.0,0.58
0.0,0.06,0.0,0.0,0.0,0.0,0.46,0.96,0.98,0.4
0.24,0.1,0.0,0.0,0.0,0.0,0.48,0.92,1.0,0.52
0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.94,1.0,0.54
0.04,0.0,0.0,0.0,0.0,0.0,0.54,0.9,1.0,0.42
0.58,0.02,0.0,0.0,0.0,0.0,0.58,0.88,0.98,0.5
0.0,0.04,0.0,0.0,0.0,0.0,0.5,0.92,0.92,0.52
0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.96,0.98,0.4
0.06,0.02,0.0,0.0,0.0,0.0,0.48,0.9,0.98,0.58
0.14,0.06,0.0,0.0,0.0,0.0,0.48,0.96,1.0,0.5
0.0,0.54,0.06,0.0,0.02,0.0,0.7,0.9,0.98,0.56
0.12,0.04,0.0,0.0,0.0,0.0,0.44,0.98,1.0,0.38
0.04,0.02,0.0,0.0,0.0,0.0,0.56,0.96,1.0,0.54
0.08,0.0,0.0,0.0,0.0,0.0,0.56,0.98,1.0,0.42
0.1,0.04,0.0,0.0,0.0,0.0,0.52,0.86,1.0,0.44
0.0,0.04,0.0,0.0,0.0,0.0,0.58,0.98,1.0,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.88,0.98,0.44
0.3,0.02,0.0,0.0,0.0,0.0,0.64,0.98,1.0,0.46
0.42,0.1,0.0,0.0,0.0,0.0,0.44,0.98,1.0,0.46
0.08,0.06,0.0,0.0,0.0,0.0,0.44,0.9,0.98,0.62
0.06,0.0,0.0,0.0,0.0,0.0,0.42,0.94,0.98,0.42
0.22,0.02,0.0,0.0,0.0,0.0,0.68,0.9,1.0,0.54
0.2,0.02,0.0,0.0,0.0,0.0,0.48,0.88,1.0,0.44
0.72,0.16,0.0,0.0,0.0,0.0,0.48,0.96,1.0,0.6
0.04,0.02,0.0,0.0,0.0,0.0,0.38,0.96,1.0,0.66
0.76,0.04,0.0,0.0,0.0,0.0,0.38,0.9,1.0,0.42
0.02,0.42,0.02,0.0,0.0,0.0,0.58,0.92,1.0,0.54
0.0,0.06,0.0,0.0,0.0,0.0,0.34,0.96,1.0,0.46
0.22,0.06,0.0,0.0,0.0,0.0,0.48,0.92,1.0,0.52
0.08,0.02,0.0,0.0,0.0,0.0,0.4,0.92,0.98,0.52
0.16,0.0,0.0,0.0,0.0,0.0,0.54,0.94,1.0,0.42
0.0,0.1,0.0,0.0,0.0,0.0,0.56,0.96,0.96,0.56
0.32,0.0,0.0,0.0,0.0,0.0,0.44,0.94,0.98,0.56
0.04,0.04,0.0,0.0,0.0,0.0,0.52,0.86,1.0,0.42
0.16,0.1,0.0,0.0,0.0,0.0,0.66,0.98,1.0,0.54
0.04,0.0,0.0,0.0,0.0,0.0,0.62,0.98,1.0,0.5
0.04,0.0,0.0,0.0,0.0,0.0,0.46,0.94,1.0,0.58
0.24,0.08,0.0,0.0,0.0,0.0,0.42,0.98,0.98,0.56
0.24,0.78,0.38,0.14,0.38,0.0,0.48,0.96,1.0,0.54
0.62,0.06,0.0,0.0,0.0,0.0,0.54,1.0,1.0,0.42
0.24,0.08,0.0,0.0,0.0,0.0,0.64,0.98,1.0,0.58
0.0,0.48,0.14,0.0,0.04,0.0,0.46,0.94,1.0,0.46
0.16,0.06,0.0,0.0,0.0,0.0,0.48,0.94,1.0,0.56
0.12,0.12,0.0,0.0,0.0,0.0,0.54,0.96,1.0,0.42
0.08,0.18,0.0,0.0,0.0,0.0,0.48,0.94,1.0,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
0.0,0.38,0.02,0.0,0.02,0.0,0.42,0.96,1.0,0.52
0.04,0.12,0.0,0.0,0.0,0.0,0.44,0.98,0.96,0.44
0.0,0.12,0.0,0.0,0.0,0.0,0.62,0.94,1.0,0.44
0.54,0.08,0.0,0.0,0.0,0.0,0.5,0.92,1.0,0.5
0.06,0.18,0.0,0.0,0.0,0.0,0.32,0.96,1.0,0.58
0.02,0.02,0.0,0.0,0.0,0.0,0.5,0.94,0.98,0.58
0.04,0.64,0.06,0.0,0.02,0.0,0.52,0.96,1.0,0.48
0.04,0.46,0.02,0.0,0.0,0.0,0.5,0.94,0.98,0.58
0.48,0.1,0.0,0.0,0.0,0.0,0.56,0.98,0.98,0.54
0.58,0.02,0.0,0.0,0.0,0.0,0.5,0.98,0.98,0.52
0.04,0.86,0.18,0.04,0.18,0.0,0.38,0.88,1.0,0.44
0.08,0.34,0.0,0.0,0.0,0.0,0.48,0.94,1.0,0.48
0.12,0.08,0.0,0.0,0.0,0.0,0.54,0.94,1.0,0.54
0.08,0.08,0.0,0.0,0.0,0.0,0.44,0.96,1.0,0.56
0.0,0.02,0.0,0.0,0.0,0.0,0.42,0.98,1.0,0.62
0.04,0.08,0.0,0.0,0.0,0.0,0.3,0.96,1.0,0.58
0.34,0.02,0.0,0.0,0.0,0.0,0.44,0.86,1.0,0.56
0.2,0.28,0.0,0.0,0.0,0.0,0.46,1.0,0.98,0.64
0.02,0.1,0.0,0.0,0.0,0.0,0.58,0.92,0.98,0.56
0.22,0.02,0.0,0.0,0.0,0.0,0.52,0.94,0.96,0.6
0.32,0.1,0.0,0.0,0.0,0.0,0.48,0.96,0.98,0.54
0.34,0.06,0.0,0.0,0.0,0.0,0.44,0.94,1.0,0.44
0.02,0.2,0.0,0.0,0.0,0.0,0.5,0.96,0.96,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.38,0.9,1.0,0.48
0.08,0.0,0.0,0.0,0.0,0.0,0.58,0.94,1.0,0.52
0.56,0.06,0.0,0.0,0.0,0.0,0.44,0.9,1.0,0.56
0.02,0.06,0.0,0.0,0.0,0.0,0.62,0.98,1.0,0.56
0.06,0.16,0.0,0.0,0.0,0.0,0.58,0.9,0.98,0.56
0.04,0.4,0.02,0.0,0.0,0.0,0.52,0.98,1.0,0.58
0.24,0.06,0.0,0.0,0.0,0.0,0.6,0.96,1.0,0.6
0.02,0.48,0.02,0.0,0.0,0.0,0.56,0.9,1.0,0.46
0.02,0.0,0.0,0.0,0.0,0.0,0.4,0.94,1.0,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.94,1.0,0.56
0.12,0.14,0.0,0.0,0.0,0.0,0.56,0.96,1.0,0.48
0.66,0.28,0.0,0.0,0.0,0.0,0.58,0.94,0.98,0.42
0.28,0.3,0.0,0.0,0.0,0.0,0.48,0.96,1.0,0.46
0.08,0.18,0.0,0.0,0.0,0.0,0.48,0.94,0.98,0.52
0.4,0.04,0.0,0.0,0.0,0.0,0.36,0.94,1.0,0.42
0.02,0.1,0.0,0.0,0.0,0.0,0.42,0.96,0.98,0.48
0.08,0.0,0.0,0.0,0.0,0.0,0.38,0.94,0.98,0.4
0.18,0.0,0.0,0.0,0.0,0.0,0.54,0.92,0.98,0.46
0.18,0.0,0.0,0.0,0.0,0.0,0.58,0.98,1.0,0.58
0.06,0.38,0.02,0.0,0.0,0.0,0.54,0.94,0.96,0.58
0.02,0.0,0.0,0.0,0.0,0.0,0.46,0.92,1.0,0.52
0.14,0.02,0.0,0.0,0.0,0.0,0.46,0.94,1.0,0.52
0.02,0.1,0.0,0.0,0.0,0.0,0.62,0.86,0.98,0.48
0.56,0.02,0.0,0.0,0.0,0.0,0.54,0.98,0.98,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.96,0.98,0.38
0.64,0.0,0.0,0.0,0.0,0.0,0.56,0.92,0.98,0.52
0.04,0.0,0.0,0.0,0.0,0.0,0.56,0.98,1.0,0.5
0.0,0.14,0.0,0.0,0.0,0.0,0.44,0.92,1.0,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.94,1.0,0.5
0.04,0.0,0.0,0.0,0.0,0.0,0.44,0.98,1.0,0.56
0.26,0.02,0.0,0.0,0.0,0.0,0.46,0.94,1.0,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.96,0.98,0.46
0.08,0.04,0.0,0.0,0.0,0.0,0.5,0.96,0.98,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.94,0.96,0.52
0.08,0.02,0.0,0.0,0.0,0.0,0.46,0.92,0.98,0.48
0.24,0.04,0.0,0.0,0.0,0.0,0.58,0.96,0.96,0.48
0.04,0.18,0.0,0.0,0.0,0.0,0.4,0.96,0.98,0.56
0.0,0.42,0.0,0.0,0.0,0.0,0.62,0.92,0.98,0.46
0.06,0.7,0.22,0.0,0.16,0.0,0.38,0.94,1.0,0.56
0.1,0.88,0.6,0.26,0.6,0.0,0.54,0.9,0.98,0.48
0.04,0.02,0.0,0.0,0.0,0.0,0.52,0.92,0.98,0.56
0.04,0.04,0.0,0.0,0.0,0.0,0.46,0.92,1.0,0.52
0.28,0.3,0.0,0.0,0.0,0.0,0.46,0.98,1.0,0.5
0.04,0.0,0.0,0.0,0.0,0.0,0.42,1.0,0.98,0.5
0.24,0.04,0.0,0.0,0.0,0.0,0.52,0.98,0.98,0.44
0.2,0.16,0.0,0.0,0.0,0.0,0.48,0.96,1.0,0.5
0.0,0.08,0.0,0.0,0.0,0.0,0.58,0.92,1.0,0.48
0.02,0.24,0.0,0.0,0.0,0.0,0.5,0.96,1.0,0.52
0.04,0.46,0.0,0.0,0.0,0.0,0.52,0.92,1.0,0.46
0.1,0.12,0.0,0.0,0.0,0.0,0.52,0.96,0.98,0.5
0.14,0.08,0.0,0.0,0.0,0.0,0.58,0.96,0.98,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.9,1.0,0.5
0.12,0.1,0.0,0.0,0.0,0.0,0.38,0.9,0.98,0.56
0.0,0.06,0.0,0.0,0.0,0.0,0.56,0.92,1.0,0.48
0.16,0.0,0.0,0.0,0.0,0.0,0.58,1.0,0.98,0.42
0.8,0.5,0.0,0.0,0.0,0.0,0.38,0.94,0.96,0.4
0.52,0.26,0.02,0.0,0.0,0.0,0.56,0.94,0.98,0.54
0.1,0.3,0.0,0.0,0.0,0.0,0.56,0.98,1.0,0.54
0.04,0.34,0.0,0.0,0.0,0.0,0.54,1.0,0.98,0.52
0.2,0.12,0.0,0.0,0.0,0.0,0.56,0.86,0.94,0.38
0.08,0.14,0.0,0.0,0.0,0.0,0.54,0.88,0.98,0.4
